Country,URL,Continent,Income level,Article length (characters),"Most common sentiment, BERT","Sentiment with highest weighted vote, BERT","Sentiment with highest weighted probability, BERT","Weighted probability of negative sentiment, BERT","Weighted probability of neutral sentiment, BERT","Weighted probability of positive sentiment, BERT","Number of paragraphs with negative sentiment, BERT","Number of paragraphs with neutral sentiment, BERT","Number of paragraphs with positive sentiment, BERT","Percent of paragraphs with negative sentiment, BERT","Percent of paragraphs with neutral sentiment, BERT","Percent of paragraphs with positive sentiment, BERT","Most common sentiment, RoBERTa","Sentiment with highest weighted vote, RoBERTa","Sentiment with highest weighted probability, RoBERTa","Weighted probability of negative sentiment, RoBERTa","Weighted probability of neutral sentiment, RoBERTa","Weighted probability of positive sentiment, RoBERTa","Number of paragraphs with negative sentiment, RoBERTa","Number of paragraphs with neutral sentiment, RoBERTa","Number of paragraphs with positive sentiment, RoBERTa","Percent of paragraphs with negative sentiment, RoBERTa","Percent of paragraphs with neutral sentiment, RoBERTa","Percent of paragraphs with positive sentiment, RoBERTa","Most common sentiment, RoBERTuito","Sentiment with highest weighted vote, RoBERTuito","Sentiment with highest weighted probability, RoBERTuito","Weighted probability of negative sentiment, RoBERTuito","Weighted probability of neutral sentiment, RoBERTuito","Weighted probability of positive sentiment, RoBERTuito","Number of paragraphs with negative sentiment, RoBERTuito","Number of paragraphs with neutral sentiment, RoBERTuito","Number of paragraphs with positive sentiment, RoBERTuito","Percent of paragraphs with negative sentiment, RoBERTuito","Percent of paragraphs with neutral sentiment, RoBERTuito","Percent of paragraphs with positive sentiment, RoBERTuito"
Suriname,https://en.wikipedia.org/wiki/Suriname,South America,Upper middle,53533,Neutral,Neutral,Neutral,0.238419954,0.560120022,0.201460025,15,107,17,10.79136691,76.97841727,12.23021583,Neutral,Neutral,Neutral,0.079157716,0.719132597,0.201709689,7,115,17,5.035971223,82.73381295,12.23021583,Neutral,Neutral,Neutral,0.077624975,0.716000817,0.206374214,9,106,24,6.474820144,76.25899281,17.26618705
Sweden,https://en.wikipedia.org/wiki/Sweden,Europe,High,93775,Neutral,Neutral,Neutral,0.284280884,0.500824825,0.214894295,27,130,25,14.83516484,71.42857143,13.73626374,Neutral,Neutral,Neutral,0.06485346,0.727170138,0.207976403,6,144,32,3.296703297,79.12087912,17.58241758,Neutral,Neutral,Neutral,0.055139808,0.726014153,0.218846037,7,140,35,3.846153846,76.92307692,19.23076923
Switzerland,https://en.wikipedia.org/wiki/Switzerland,Europe,High,78829,Neutral,Neutral,Neutral,0.245856896,0.532874059,0.221269043,20,116,25,12.42236025,72.04968944,15.52795031,Neutral,Neutral,Neutral,0.074541554,0.698693421,0.226765027,7,124,30,4.347826087,77.01863354,18.63354037,Neutral,Neutral,Neutral,0.053735546,0.683405495,0.262858957,6,112,43,3.726708075,69.56521739,26.70807453
Syria,https://en.wikipedia.org/wiki/Syria,Asia,Low,87052,Neutral,Neutral,Neutral,0.404977105,0.435358996,0.159663899,49,75,9,36.84210526,56.39097744,6.766917293,Neutral,Neutral,Neutral,0.258416201,0.675563492,0.06602031,31,100,2,23.30827068,75.18796992,1.503759398,Neutral,Neutral,Neutral,0.216848235,0.710101238,0.073050524,24,103,6,18.04511278,77.44360902,4.511278195
Taiwan,https://en.wikipedia.org/wiki/Taiwan,Asia,High,88828,Neutral,Neutral,Neutral,0.310894019,0.508398323,0.180707667,30,109,13,19.73684211,71.71052632,8.552631579,Neutral,Neutral,Neutral,0.118399214,0.722335259,0.159265528,9,127,16,5.921052632,83.55263158,10.52631579,Neutral,Neutral,Neutral,0.090960799,0.735759128,0.173280071,8,126,18,5.263157895,82.89473684,11.84210526
Tajikistan,https://en.wikipedia.org/wiki/Tajikistan,Asia,Lower middle,49013,Neutral,Neutral,Neutral,0.352073159,0.529789932,0.118136902,42,97,2,29.78723404,68.79432624,1.418439716,Neutral,Neutral,Neutral,0.183681541,0.719709716,0.096608751,21,115,5,14.89361702,81.56028369,3.546099291,Neutral,Neutral,Neutral,0.171387365,0.733428422,0.095184204,21,114,6,14.89361702,80.85106383,4.255319149
Tanzania,https://en.wikipedia.org/wiki/Tanzania,Africa,Lower middle,74786,Neutral,Neutral,Neutral,0.320675782,0.503606217,0.175718001,40,116,8,24.3902439,70.73170732,4.87804878,Neutral,Neutral,Neutral,0.128039106,0.712288047,0.159672849,18,133,13,10.97560976,81.09756098,7.926829268,Neutral,Neutral,Neutral,0.120114409,0.701054616,0.178830972,22,119,23,13.41463415,72.56097561,14.02439024
Thailand,https://en.wikipedia.org/wiki/Thailand,Asia,Upper middle,92235,Neutral,Neutral,Neutral,0.301665608,0.514995466,0.183338933,42,140,19,20.89552239,69.65174129,9.452736318,Neutral,Neutral,Neutral,0.137360341,0.713134157,0.149505499,20,162,19,9.950248756,80.59701493,9.452736318,Neutral,Neutral,Neutral,0.114287863,0.718709104,0.167003035,16,158,27,7.960199005,78.60696517,13.43283582
The Bahamas,https://en.wikipedia.org/wiki/The_Bahamas,North America,High,47089,Neutral,Neutral,Neutral,0.259336008,0.572299768,0.168364222,16,86,6,14.81481481,79.62962963,5.555555556,Neutral,Neutral,Neutral,0.07880736,0.77684825,0.144344405,4,96,8,3.703703704,88.88888889,7.407407407,Neutral,Neutral,Neutral,0.052027795,0.807155927,0.140816272,3,95,10,2.777777778,87.96296296,9.259259259
The Gambia,https://en.wikipedia.org/wiki/The_Gambia,Africa,Low,45510,Neutral,Neutral,Neutral,0.319130997,0.517278111,0.163590892,29,81,7,24.78632479,69.23076923,5.982905983,Neutral,Neutral,Neutral,0.15390101,0.727411452,0.118687527,13,100,4,11.11111111,85.47008547,3.418803419,Neutral,Neutral,Neutral,0.140436039,0.735635676,0.123928287,16,94,7,13.67521368,80.34188034,5.982905983
Timor-Leste,https://en.wikipedia.org/wiki/Timor-Leste,Asia,Lower middle,54592,Neutral,Neutral,Neutral,0.362229632,0.484838387,0.15293198,26,48,5,32.91139241,60.75949367,6.329113924,Neutral,Neutral,Neutral,0.121805115,0.773714326,0.104480557,6,70,3,7.594936709,88.60759494,3.797468354,Neutral,Neutral,Neutral,0.10288711,0.77470043,0.122412452,6,66,7,7.594936709,83.5443038,8.860759494
Togo,https://en.wikipedia.org/wiki/Togo,Africa,Low,40233,Neutral,Neutral,Neutral,0.350221448,0.49776149,0.152017061,21,64,4,23.59550562,71.91011236,4.494382022,Neutral,Neutral,Neutral,0.128049259,0.758180132,0.113770611,7,77,5,7.865168539,86.51685393,5.617977528,Neutral,Neutral,Neutral,0.116192547,0.763879252,0.119928202,7,76,6,7.865168539,85.39325843,6.741573034
Tonga,https://en.wikipedia.org/wiki/Tonga,Oceania,Upper middle,39053,Neutral,Neutral,Neutral,0.282882651,0.484197747,0.2329196,19,66,15,19,66,15,Neutral,Neutral,Neutral,0.137624345,0.660456989,0.201918664,13,78,9,13,78,9,Neutral,Neutral,Neutral,0.124275758,0.6396773,0.236046947,11,72,17,11,72,17
Trinidad and Tobago,https://en.wikipedia.org/wiki/Trinidad_and_Tobago,North America,High,88721,Neutral,Neutral,Neutral,0.276127419,0.529189577,0.194683008,32,143,26,15.92039801,71.14427861,12.93532338,Neutral,Neutral,Neutral,0.092238631,0.695256579,0.212504784,9,158,34,4.47761194,78.60696517,16.91542289,Neutral,Neutral,Neutral,0.0800272,0.695855141,0.224117655,8,154,39,3.980099502,76.61691542,19.40298507
Tunisia,https://en.wikipedia.org/wiki/Tunisia,Africa,Lower middle,63553,Neutral,Neutral,Neutral,0.286614575,0.509286028,0.204099397,26,105,17,17.56756757,70.94594595,11.48648649,Neutral,Neutral,Neutral,0.107955269,0.72431082,0.167733906,14,116,18,9.459459459,78.37837838,12.16216216,Neutral,Neutral,Neutral,0.095053674,0.712475922,0.192470399,13,109,26,8.783783784,73.64864865,17.56756757
Turkey,https://en.wikipedia.org/wiki/Turkey,Asia,Upper middle,67839,Neutral,Neutral,Neutral,0.280255089,0.476399153,0.243345759,24,74,15,21.23893805,65.48672566,13.27433628,Neutral,Neutral,Neutral,0.098553395,0.689810798,0.211635802,7,86,20,6.194690265,76.10619469,17.69911504,Neutral,Neutral,Neutral,0.083860845,0.695860281,0.220278878,8,85,20,7.079646018,75.22123894,17.69911504
Turkmenistan,https://en.wikipedia.org/wiki/Turkmenistan,Asia,Upper middle,59891,Neutral,Neutral,Neutral,0.329144856,0.534295484,0.136559664,31,88,5,25,70.96774194,4.032258065,Neutral,Neutral,Neutral,0.158075172,0.759015853,0.082908981,15,108,1,12.09677419,87.09677419,0.806451613,Neutral,Neutral,Neutral,0.135589825,0.778122224,0.086287948,14,102,8,11.29032258,82.25806452,6.451612903
Tuvalu,https://en.wikipedia.org/wiki/Tuvalu,Oceania,Upper middle,82180,Neutral,Neutral,Neutral,0.263903159,0.5852374,0.15085943,24,140,5,14.20118343,82.84023669,2.958579882,Neutral,Neutral,Neutral,0.08607693,0.795507435,0.118415634,4,157,8,2.366863905,92.89940828,4.733727811,Neutral,Neutral,Neutral,0.044986074,0.844371592,0.110642331,3,157,9,1.775147929,92.89940828,5.325443787
Uganda,https://en.wikipedia.org/wiki/Uganda,Africa,Low,70623,Neutral,Negative,Negative,0.440201141,0.401180673,0.158618185,66,85,11,40.74074074,52.4691358,6.790123457,Neutral,Neutral,Neutral,0.242600331,0.601477607,0.155922063,38,106,18,23.45679012,65.43209877,11.11111111,Neutral,Neutral,Neutral,0.227887949,0.597077431,0.175034625,37,100,25,22.83950617,61.72839506,15.43209877
Ukraine,https://en.wikipedia.org/wiki/Ukraine,Europe,Upper middle,82169,Neutral,Neutral,Neutral,0.382951316,0.437362087,0.179686598,53,83,22,33.5443038,52.53164557,13.92405063,Neutral,Neutral,Neutral,0.177421899,0.671361309,0.151216791,25,118,15,15.82278481,74.6835443,9.493670886,Neutral,Neutral,Neutral,0.153265429,0.685204526,0.161530047,23,116,19,14.55696203,73.41772152,12.02531646
United Arab Emirates,https://en.wikipedia.org/wiki/United_Arab_Emirates,Asia,High,86217,Neutral,Neutral,Neutral,0.325315267,0.456240108,0.218444625,44,97,28,26.03550296,57.3964497,16.56804734,Neutral,Neutral,Neutral,0.185664715,0.627017196,0.187318081,27,115,27,15.97633136,68.04733728,15.97633136,Neutral,Neutral,Neutral,0.168099228,0.630335859,0.201564915,24,112,33,14.20118343,66.27218935,19.52662722
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom,Europe,High,94844,Neutral,Neutral,Neutral,0.212704531,0.527029628,0.260265849,18,123,27,10.71428571,73.21428571,16.07142857,Neutral,Neutral,Neutral,0.046130053,0.697971121,0.255898822,3,136,29,1.785714286,80.95238095,17.26190476,Neutral,Neutral,Neutral,0.01988598,0.671595379,0.308518649,1,126,41,0.595238095,75,24.4047619
United States,https://en.wikipedia.org/wiki/United_States,North America,High,88102,Neutral,Neutral,Neutral,0.236518017,0.52134661,0.24213537,18,112,24,11.68831169,72.72727273,15.58441558,Neutral,Neutral,Neutral,0.071247406,0.662721638,0.266030951,7,115,32,4.545454545,74.67532468,20.77922078,Neutral,Neutral,Neutral,0.047287415,0.648036318,0.304676267,5,111,38,3.246753247,72.07792208,24.67532468
Uruguay,https://en.wikipedia.org/wiki/Uruguay,South America,High,57882,Neutral,Neutral,Neutral,0.286768174,0.500567301,0.212664521,18,84,13,15.65217391,73.04347826,11.30434783,Neutral,Neutral,Neutral,0.075132089,0.713428975,0.211438936,4,99,12,3.47826087,86.08695652,10.43478261,Neutral,Neutral,Neutral,0.06611425,0.691828443,0.242057303,5,88,22,4.347826087,76.52173913,19.13043478
Uzbekistan,https://en.wikipedia.org/wiki/Uzbekistan,Asia,Lower middle,66094,Neutral,Neutral,Neutral,0.311639563,0.494654475,0.193705959,41,111,20,23.8372093,64.53488372,11.62790698,Neutral,Neutral,Neutral,0.15833034,0.67222968,0.169439986,25,131,16,14.53488372,76.1627907,9.302325581,Neutral,Neutral,Neutral,0.130063426,0.674327278,0.195609304,20,125,27,11.62790698,72.6744186,15.69767442
Vanuatu,https://en.wikipedia.org/wiki/Vanuatu,Oceania,Lower middle,59878,Neutral,Neutral,Neutral,0.385613824,0.46970599,0.144680183,40,76,5,33.05785124,62.80991736,4.132231405,Neutral,Neutral,Neutral,0.172034309,0.714492693,0.113472992,14,100,7,11.57024793,82.6446281,5.785123967,Neutral,Neutral,Neutral,0.153171982,0.714571123,0.132256898,15,96,10,12.39669421,79.33884298,8.26446281
Venezuela,https://en.wikipedia.org/wiki/Venezuela,South America,Lower middle,90783,Neutral,Neutral,Neutral,0.348416243,0.457464128,0.194119625,62,117,27,30.09708738,56.7961165,13.10679612,Neutral,Neutral,Neutral,0.204639264,0.632493087,0.16286765,42,140,24,20.38834951,67.96116505,11.65048544,Neutral,Neutral,Neutral,0.192680986,0.630690394,0.176628615,39,138,29,18.93203883,66.99029126,14.0776699
Vietnam,https://en.wikipedia.org/wiki/Vietnam,Asia,Lower middle,87390,Neutral,Neutral,Neutral,0.354494572,0.449055335,0.196450091,29,55,9,31.1827957,59.13978495,9.677419355,Neutral,Neutral,Neutral,0.111307949,0.696050446,0.192641609,8,74,11,8.602150538,79.56989247,11.82795699,Neutral,Neutral,Neutral,0.099852498,0.690910714,0.209236793,8,69,16,8.602150538,74.19354839,17.20430108
Yemen,https://en.wikipedia.org/wiki/Yemen,Asia,Low,78378,Neutral,Negative,Neutral,0.416445388,0.435089675,0.148464938,61,83,9,39.86928105,54.24836601,5.882352941,Neutral,Neutral,Neutral,0.2430233,0.656572097,0.100404607,34,111,8,22.22222222,72.54901961,5.22875817,Neutral,Neutral,Neutral,0.208940949,0.685003691,0.10605536,25,116,12,16.33986928,75.81699346,7.843137255
Zambia,https://en.wikipedia.org/wiki/Zambia,Africa,Lower middle,64681,Neutral,Neutral,Neutral,0.289439603,0.520997145,0.189563245,34,99,18,22.51655629,65.56291391,11.9205298,Neutral,Neutral,Neutral,0.12226723,0.723755162,0.153977606,17,123,11,11.25827815,81.45695364,7.284768212,Neutral,Neutral,Neutral,0.089665114,0.720037186,0.190297693,15,118,18,9.933774834,78.14569536,11.9205298
Zimbabwe,https://en.wikipedia.org/wiki/Zimbabwe,Africa,Lower middle,82075,Neutral,Neutral,Neutral,0.421459945,0.428966943,0.149573112,48,84,13,33.10344828,57.93103448,8.965517241,Neutral,Neutral,Neutral,0.220869855,0.651375927,0.127754221,25,106,14,17.24137931,73.10344828,9.655172414,Neutral,Neutral,Neutral,0.219467617,0.63544175,0.145090627,27,100,18,18.62068966,68.96551724,12.4137931
