Name,URL,Article length (characters),"Most common sentiment, BERT","Sentiment with highest weighted vote, BERT","Sentiment with highest weighted probability, BERT","Weighted probability of negative sentiment, BERT","Weighted probability of neutral sentiment, BERT","Weighted probability of positive sentiment, BERT","Number of paragraphs with negative sentiment, BERT","Number of paragraphs with neutral sentiment, BERT","Number of paragraphs with positive sentiment, BERT","Percent of paragraphs with negative sentiment, BERT","Percent of paragraphs with neutral sentiment, BERT","Percent of paragraphs with positive sentiment, BERT","Most common sentiment, RoBERTa","Sentiment with highest weighted vote, RoBERTa","Sentiment with highest weighted probability, RoBERTa","Weighted probability of negative sentiment, RoBERTa","Weighted probability of neutral sentiment, RoBERTa","Weighted probability of positive sentiment, RoBERTa","Number of paragraphs with negative sentiment, RoBERTa","Number of paragraphs with neutral sentiment, RoBERTa","Number of paragraphs with positive sentiment, RoBERTa","Percent of paragraphs with negative sentiment, RoBERTa","Percent of paragraphs with neutral sentiment, RoBERTa","Percent of paragraphs with positive sentiment, RoBERTa","Most common sentiment, RoBERTuito","Sentiment with highest weighted vote, RoBERTuito","Sentiment with highest weighted probability, RoBERTuito","Weighted probability of negative sentiment, RoBERTuito","Weighted probability of neutral sentiment, RoBERTuito","Weighted probability of positive sentiment, RoBERTuito","Number of paragraphs with negative sentiment, RoBERTuito","Number of paragraphs with neutral sentiment, RoBERTuito","Number of paragraphs with positive sentiment, RoBERTuito","Percent of paragraphs with negative sentiment, RoBERTuito","Percent of paragraphs with neutral sentiment, RoBERTuito","Percent of paragraphs with positive sentiment, RoBERTuito"
John Lennon,https://en.wikipedia.org/wiki/John_Lennon,76526,Neutral,Neutral,Neutral,0.3245277002311196,0.46804855832268744,0.20742373448846152,26.0,65.0,15.0,24.528301886792452,61.32075471698113,14.150943396226415,Neutral,Neutral,Neutral,0.0956113866237037,0.7079354699997922,0.19645314256211105,6.0,88.0,12.0,5.660377358490567,83.01886792452831,11.320754716981133,Neutral,Neutral,Neutral,0.07354761602084263,0.7284078076060493,0.19804457886870655,8.0,86.0,12.0,7.547169811320755,81.13207547169812,11.320754716981133
Paul McCartney,https://en.wikipedia.org/wiki/Paul_McCartney,84523,Neutral,Neutral,Neutral,0.19577897507898542,0.5110598785177463,0.29316114680064204,15.0,76.0,29.0,12.5,63.33333333333333,24.166666666666668,Neutral,Neutral,Neutral,0.04673573910945443,0.6287605094551856,0.32450375227879297,2.0,87.0,31.0,1.6666666666666667,72.5,25.833333333333336,Neutral,Neutral,Neutral,0.02774112320551592,0.6501457652765145,0.32211310954213623,3.0,82.0,35.0,2.5,68.33333333333333,29.166666666666668
Ringo Starr,https://en.wikipedia.org/wiki/Ringo_Starr,59345,Neutral,Neutral,Neutral,0.2532609304801924,0.4680844811503714,0.2786545903824238,14.0,56.0,22.0,15.217391304347828,60.86956521739131,23.91304347826087,Neutral,Neutral,Neutral,0.09915053784353389,0.6148908900229307,0.2859585714570965,6.0,64.0,22.0,6.521739130434782,69.56521739130434,23.91304347826087,Neutral,Neutral,Neutral,0.11060664336187388,0.5991772290785298,0.2902161264958199,6.0,64.0,22.0,6.521739130434782,69.56521739130434,23.91304347826087
George Harrison,https://en.wikipedia.org/wiki/George_Harrison,68386,Neutral,Neutral,Neutral,0.2012762548196583,0.4594430497712428,0.33928069790040655,12.0,59.0,32.0,11.650485436893204,57.28155339805825,31.06796116504854,Neutral,Neutral,Neutral,0.043861209648264524,0.6072949878624126,0.34884379547290023,3.0,70.0,30.0,2.912621359223301,67.96116504854369,29.126213592233007,Neutral,Neutral,Neutral,0.045342859146135714,0.6086029810517996,0.34605415825608477,2.0,71.0,30.0,1.9417475728155338,68.93203883495146,29.126213592233007
