State,Chamber,Name,URL,Party,Born,Tenure (years),Article length (characters),"Most common sentiment, BERT","Sentiment with highest weighted vote, BERT","Sentiment with highest weighted probability, BERT","Weighted probability of negative sentiment, BERT","Weighted probability of neutral sentiment, BERT","Weighted probability of positive sentiment, BERT","Number of paragraphs with negative sentiment, BERT","Number of paragraphs with neutral sentiment, BERT","Number of paragraphs with positive sentiment, BERT","Percent of paragraphs with negative sentiment, BERT","Percent of paragraphs with neutral sentiment, BERT","Percent of paragraphs with positive sentiment, BERT","Most common sentiment, RoBERTa","Sentiment with highest weighted vote, RoBERTa","Sentiment with highest weighted probability, RoBERTa","Weighted probability of negative sentiment, RoBERTa","Weighted probability of neutral sentiment, RoBERTa","Weighted probability of positive sentiment, RoBERTa","Number of paragraphs with negative sentiment, RoBERTa","Number of paragraphs with neutral sentiment, RoBERTa","Number of paragraphs with positive sentiment, RoBERTa","Percent of paragraphs with negative sentiment, RoBERTa","Percent of paragraphs with neutral sentiment, RoBERTa","Percent of paragraphs with positive sentiment, RoBERTa","Most common sentiment, RoBERTuito","Sentiment with highest weighted vote, RoBERTuito","Sentiment with highest weighted probability, RoBERTuito","Weighted probability of negative sentiment, RoBERTuito","Weighted probability of neutral sentiment, RoBERTuito","Weighted probability of positive sentiment, RoBERTuito","Number of paragraphs with negative sentiment, RoBERTuito","Number of paragraphs with neutral sentiment, RoBERTuito","Number of paragraphs with positive sentiment, RoBERTuito","Percent of paragraphs with negative sentiment, RoBERTuito","Percent of paragraphs with neutral sentiment, RoBERTuito","Percent of paragraphs with positive sentiment, RoBERTuito"
Georgia,House,Sanford Bishop,https://en.wikipedia.org/wiki/Sanford_Bishop,Democratic,"February 4, 1947 (age 78)",33,10369,Neutral,Neutral,Neutral,0.31858503,0.536570804,0.144844182,6,34,1,14.63414634,82.92682927,2.43902439,Neutral,Neutral,Neutral,0.100762257,0.699264995,0.199972756,1,34,6,2.43902439,82.92682927,14.63414634,Neutral,Neutral,Neutral,0.072440659,0.716570208,0.210989141,1,25,15,2.43902439,60.97560976,36.58536585
Georgia,House,Brian Jack,https://en.wikipedia.org/wiki/Brian_Jack,Republican,"February 17, 1988 (age 37)",1,5186,Neutral,Neutral,Neutral,0.096966804,0.730028429,0.173004764,1,27,1,3.448275862,93.10344828,3.448275862,Neutral,Neutral,Neutral,0.013875927,0.807292671,0.178831406,0,28,1,0,96.55172414,3.448275862,Neutral,Neutral,Neutral,0.009474539,0.795288311,0.195237157,0,28,1,0,96.55172414,3.448275862
Georgia,House,Hank Johnson,https://en.wikipedia.org/wiki/Hank_Johnson,Democratic,"October 2, 1954 (age 70)",19,14654,Neutral,Neutral,Neutral,0.319572102,0.459124687,0.221303211,9,31,5,20,68.88888889,11.11111111,Neutral,Neutral,Neutral,0.209296972,0.62719419,0.163508835,5,37,3,11.11111111,82.22222222,6.666666667,Neutral,Neutral,Neutral,0.201732168,0.57901224,0.219255597,6,31,8,13.33333333,68.88888889,17.77777778
Georgia,House,Nikema Williams,https://en.wikipedia.org/wiki/Nikema_Williams,Democratic,"July 30, 1978 (age 47)",5,4880,Neutral,Neutral,Neutral,0.200987217,0.615431345,0.183581417,1,18,1,5,90,5,Neutral,Neutral,Neutral,0.090397913,0.77880071,0.130801356,0,19,1,0,95,5,Neutral,Neutral,Neutral,0.097264266,0.737155996,0.165579744,2,16,2,10,80,10
Georgia,House,Lucy McBath,https://en.wikipedia.org/wiki/Lucy_McBath,Democratic,"June 1, 1960 (age 65)",7,11481,Neutral,Neutral,Neutral,0.27258093,0.548316517,0.179102554,9,30,6,20,66.66666667,13.33333333,Neutral,Neutral,Neutral,0.119876562,0.720673936,0.159449505,2,40,3,4.444444444,88.88888889,6.666666667,Neutral,Neutral,Neutral,0.109409191,0.695518161,0.195072654,2,36,7,4.444444444,80,15.55555556
Georgia,House,Rich McCormick,https://en.wikipedia.org/wiki/Rich_McCormick,Republican,"October 7, 1968 (age 56)",3,5431,Neutral,Neutral,Neutral,0.33792663,0.557371609,0.104701754,5,16,0,23.80952381,76.19047619,0,Neutral,Neutral,Neutral,0.175045844,0.699734161,0.125219981,2,18,1,9.523809524,85.71428571,4.761904762,Neutral,Neutral,Neutral,0.176797922,0.699866672,0.123335405,2,18,1,9.523809524,85.71428571,4.761904762
Georgia,House,Austin Scott,https://en.wikipedia.org/wiki/Austin_Scott_(politician),Republican,"December 10, 1969 (age 55)",15,12959,Neutral,Neutral,Neutral,0.203052252,0.613791443,0.183156294,5,56,2,7.936507937,88.88888889,3.174603175,Neutral,Neutral,Neutral,0.100106013,0.744147588,0.155746394,4,54,5,6.349206349,85.71428571,7.936507937,Neutral,Neutral,Neutral,0.060965303,0.778500924,0.160533783,3,54,6,4.761904762,85.71428571,9.523809524
Georgia,House,Andrew Clyde,https://en.wikipedia.org/wiki/Andrew_Clyde,Republican,"November 22, 1963 (age 61)",5,7415,Neutral,Neutral,Neutral,0.269138457,0.606222199,0.124639349,4,24,1,13.79310345,82.75862069,3.448275862,Neutral,Neutral,Neutral,0.14014177,0.766265776,0.09359244,4,25,0,13.79310345,86.20689655,0,Neutral,Neutral,Neutral,0.076131349,0.851742426,0.07212623,1,28,0,3.448275862,96.55172414,0
Georgia,House,Mike Collins,https://en.wikipedia.org/wiki/Mike_Collins_(politician),Republican,"July 2, 1967 (age 58)",3,9473,Neutral,Neutral,Neutral,0.291947685,0.548509236,0.159543085,3,26,0,10.34482759,89.65517241,0,Neutral,Neutral,Neutral,0.27027649,0.674528718,0.055194792,3,26,0,10.34482759,89.65517241,0,Neutral,Neutral,Neutral,0.251159395,0.684024834,0.064815765,4,25,0,13.79310345,86.20689655,0
Georgia,House,Barry Loudermilk,https://en.wikipedia.org/wiki/Barry_Loudermilk,Republican,"December 22, 1963 (age 61)",11,13945,Neutral,Neutral,Neutral,0.263182553,0.550770457,0.186046988,8,35,5,16.66666667,72.91666667,10.41666667,Neutral,Neutral,Neutral,0.158052416,0.718332502,0.123615088,6,40,2,12.5,83.33333333,4.166666667,Neutral,Neutral,Neutral,0.108160506,0.751905441,0.139934049,3,40,5,6.25,83.33333333,10.41666667
Georgia,House,Rick Allen,https://en.wikipedia.org/wiki/Rick_Allen_(politician),Republican,"November 7, 1951 (age 73)",11,18058,Neutral,Neutral,Neutral,0.382700264,0.452734035,0.1645657,12,33,3,25,68.75,6.25,Neutral,Neutral,Neutral,0.246186534,0.654374807,0.099438647,13,32,3,27.08333333,66.66666667,6.25,Neutral,Neutral,Neutral,0.152352975,0.753633489,0.094013535,8,39,1,16.66666667,81.25,2.083333333
Georgia,House,David Scott,https://en.wikipedia.org/wiki/David_Scott_(Georgia_politician),Democratic,"June 27, 1945 (age 80)",23,5872,Neutral,Neutral,Neutral,0.251486464,0.61643587,0.132077668,3,19,0,13.63636364,86.36363636,0,Neutral,Neutral,Neutral,0.123534377,0.738880239,0.137585374,3,18,1,13.63636364,81.81818182,4.545454545,Neutral,Neutral,Neutral,0.095657469,0.830317212,0.074025339,2,20,0,9.090909091,90.90909091,0
Georgia,House,Marjorie Taylor Greene,https://en.wikipedia.org/wiki/Marjorie_Taylor_Greene,Republican,"May 27, 1974 (age 51)",5,73905,Neutral,Negative,Negative,0.47730225,0.39535072,0.12734703,68,74,7,45.63758389,49.66442953,4.697986577,Neutral,Negative,Neutral,0.4505207,0.509940026,0.039539271,67,78,4,44.96644295,52.34899329,2.684563758,Neutral,Neutral,Neutral,0.43333745,0.528715368,0.037947181,64,81,4,42.95302013,54.36241611,2.684563758
Hawaii,House,Ed Case,https://en.wikipedia.org/wiki/Ed_Case,Democratic,"September 27, 1952 (age 72)",7,15301,Neutral,Neutral,Neutral,0.251149161,0.627832565,0.121018293,7,46,0,13.20754717,86.79245283,0,Neutral,Neutral,Neutral,0.103865962,0.771592257,0.124541792,6,44,3,11.32075472,83.01886792,5.660377358,Neutral,Neutral,Neutral,0.081177201,0.80268774,0.116135053,4,45,4,7.547169811,84.90566038,7.547169811
Hawaii,House,Jill Tokuda,https://en.wikipedia.org/wiki/Jill_Tokuda,Democratic,"March 3, 1976 (age 49)",3,6431,Neutral,Neutral,Neutral,0.150933728,0.654655336,0.194410948,1,29,1,3.225806452,93.5483871,3.225806452,Neutral,Neutral,Neutral,0.017230934,0.78243614,0.20033292,0,28,3,0,90.32258065,9.677419355,Neutral,Neutral,Neutral,0.005453341,0.763792859,0.230753819,0,27,4,0,87.09677419,12.90322581
Idaho,House,Russ Fulcher,https://en.wikipedia.org/wiki/Russ_Fulcher,Republican,"March 9, 1962 (age 63)",7,4455,Neutral,Neutral,Neutral,0.177404894,0.698742178,0.123852936,1,25,0,3.846153846,96.15384615,0,Neutral,Neutral,Neutral,0.055416106,0.819582141,0.125001765,1,23,2,3.846153846,88.46153846,7.692307692,Neutral,Neutral,Neutral,0.019345356,0.810735083,0.169919562,0,23,3,0,88.46153846,11.53846154
Idaho,House,Mike Simpson,https://en.wikipedia.org/wiki/Mike_Simpson,Republican,"September 8, 1950 (age 75)",27,16134,Neutral,Neutral,Neutral,0.245127792,0.548356486,0.20651571,5,48,7,8.333333333,80,11.66666667,Neutral,Neutral,Neutral,0.105992469,0.716789437,0.177218087,5,50,5,8.333333333,83.33333333,8.333333333,Neutral,Neutral,Neutral,0.077050863,0.745758068,0.177191057,3,53,4,5,88.33333333,6.666666667
Illinois,House,Jonathan Jackson,https://en.wikipedia.org/wiki/Jonathan_Jackson_(Illinois_politician),Democratic,"January 7, 1966 (age 59)",3,7833,Neutral,Neutral,Neutral,0.277952829,0.555039557,0.167007613,2,20,0,9.090909091,90.90909091,0,Neutral,Neutral,Neutral,0.066026764,0.817844679,0.11612857,0,22,0,0,100,0,Neutral,Neutral,Neutral,0.044341735,0.860544434,0.095113826,0,21,1,0,95.45454545,4.545454545
Illinois,House,Robin Kelly,https://en.wikipedia.org/wiki/Robin_Kelly,Democratic,"April 30, 1956 (age 69)",12,4404,Neutral,Neutral,Neutral,0.136648341,0.736094165,0.127257499,0,23,0,0,100,0,Neutral,Neutral,Neutral,0.023069185,0.837707384,0.13922344,0,23,0,0,100,0,Neutral,Neutral,Neutral,0.004993669,0.803376407,0.191629912,0,21,2,0,91.30434783,8.695652174
Illinois,House,Delia Ramirez,https://en.wikipedia.org/wiki/Delia_Ramirez,Democratic,"June 2, 1983 (age 42)",3,8564,Neutral,Neutral,Neutral,0.172240801,0.566250635,0.261508579,0,26,3,0,89.65517241,10.34482759,Neutral,Neutral,Neutral,0.129409748,0.733635312,0.136954935,1,27,1,3.448275862,93.10344828,3.448275862,Neutral,Neutral,Neutral,0.03493123,0.804723768,0.16034501,0,28,1,0,96.55172414,3.448275862
Illinois,House,Chuy García,https://en.wikipedia.org/wiki/Chuy_García,Democratic,"April 12, 1956 (age 69)",7,20371,Neutral,Neutral,Neutral,0.368749702,0.506363118,0.124887167,13,37,1,25.49019608,72.54901961,1.960784314,Neutral,Neutral,Neutral,0.134819278,0.772173674,0.093007066,5,45,1,9.803921569,88.23529412,1.960784314,Neutral,Neutral,Neutral,0.157774971,0.71792324,0.124301778,6,41,4,11.76470588,80.39215686,7.843137255
Illinois,House,Mike Quigley,https://en.wikipedia.org/wiki/Mike_Quigley,Democratic,"October 17, 1958 (age 66)",16,9172,Neutral,Neutral,Neutral,0.195125624,0.566023229,0.238851153,1,26,5,3.125,81.25,15.625,Neutral,Neutral,Neutral,0.063345612,0.749138278,0.187516105,1,28,3,3.125,87.5,9.375,Neutral,Neutral,Neutral,0.043282076,0.684911044,0.27180688,0,24,8,0,75,25
Illinois,House,Sean Casten,https://en.wikipedia.org/wiki/Sean_Casten,Democratic,"November 23, 1971 (age 53)",7,8809,Neutral,Neutral,Neutral,0.214326102,0.631322002,0.1543519,5,32,2,12.82051282,82.05128205,5.128205128,Neutral,Neutral,Neutral,0.060988134,0.786955652,0.152056206,1,37,1,2.564102564,94.87179487,2.564102564,Neutral,Neutral,Neutral,0.072426943,0.723166132,0.204406919,1,33,5,2.564102564,84.61538462,12.82051282
Illinois,House,Danny Davis,https://en.wikipedia.org/wiki/Danny_Davis_(Illinois_politician),Democratic,"September 6, 1941 (age 84)",29,10576,Neutral,Neutral,Neutral,0.258889494,0.558655894,0.182454589,5,26,2,15.15151515,78.78787879,6.060606061,Neutral,Neutral,Neutral,0.11167819,0.724711351,0.163610441,1,30,2,3.03030303,90.90909091,6.060606061,Neutral,Neutral,Neutral,0.087230202,0.745420149,0.167349651,3,27,3,9.090909091,81.81818182,9.090909091
Illinois,House,Raja Krishnamoorthi,https://en.wikipedia.org/wiki/Raja_Krishnamoorthi,Democratic,"July 19, 1973 (age 52)",9,12485,Neutral,Neutral,Neutral,0.368505881,0.494849884,0.136644237,11,28,2,26.82926829,68.29268293,4.87804878,Neutral,Neutral,Neutral,0.233956131,0.653256932,0.112786946,7,32,2,17.07317073,78.04878049,4.87804878,Neutral,Neutral,Neutral,0.23927066,0.61970205,0.141027294,8,29,4,19.51219512,70.73170732,9.756097561
Illinois,House,Jan Schakowsky,https://en.wikipedia.org/wiki/Jan_Schakowsky,Democratic,"May 26, 1944 (age 81)",27,14138,Neutral,Neutral,Neutral,0.315577513,0.483873406,0.200549065,11,34,8,20.75471698,64.1509434,15.09433962,Neutral,Neutral,Neutral,0.191149859,0.664412735,0.144437396,8,39,6,15.09433962,73.58490566,11.32075472,Neutral,Neutral,Neutral,0.153287741,0.679010819,0.167701442,6,38,9,11.32075472,71.69811321,16.98113208
Illinois,House,Brad Schneider,https://en.wikipedia.org/wiki/Brad_Schneider,Democratic,"August 20, 1961 (age 64)",9,7066,Neutral,Neutral,Neutral,0.177748555,0.602112995,0.220138445,1,25,6,3.125,78.125,18.75,Neutral,Neutral,Neutral,0.088926831,0.750702017,0.160371162,4,27,1,12.5,84.375,3.125,Neutral,Neutral,Neutral,0.037903739,0.79236618,0.169730086,2,28,2,6.25,87.5,6.25
Illinois,House,Bill Foster,https://en.wikipedia.org/wiki/Bill_Foster_(politician),Democratic,"October 7, 1955 (age 69)",13,8784,Neutral,Neutral,Neutral,0.151548448,0.611901586,0.236549971,0,38,4,0,90.47619048,9.523809524,Neutral,Neutral,Neutral,0.080087623,0.741490811,0.178421565,2,38,2,4.761904762,90.47619048,4.761904762,Neutral,Neutral,Neutral,0.042435833,0.75353414,0.204030031,1,35,6,2.380952381,83.33333333,14.28571429
Illinois,House,Mike Bost,https://en.wikipedia.org/wiki/Mike_Bost,Republican,"December 30, 1960 (age 64)",11,10889,Neutral,Neutral,Neutral,0.342246506,0.467012252,0.190741257,8,27,6,19.51219512,65.85365854,14.63414634,Neutral,Neutral,Neutral,0.207323962,0.636533177,0.156142869,6,29,6,14.63414634,70.73170732,14.63414634,Neutral,Neutral,Neutral,0.236949457,0.584986154,0.178064389,6,29,6,14.63414634,70.73170732,14.63414634
Illinois,House,Nikki Budzinski,https://en.wikipedia.org/wiki/Nikki_Budzinski,Democratic,"March 11, 1977 (age 48)",3,3235,Neutral,Neutral,Neutral,0.094080476,0.727296425,0.178623093,0,17,1,0,94.44444444,5.555555556,Neutral,Neutral,Neutral,0.010491419,0.856592769,0.132915776,0,18,0,0,100,0,Neutral,Neutral,Neutral,0.005332383,0.920334029,0.074333586,0,18,0,0,100,0
Illinois,House,Lauren Underwood,https://en.wikipedia.org/wiki/Lauren_Underwood,Democratic,"October 4, 1986 (age 38)",7,6702,Neutral,Neutral,Neutral,0.221884882,0.599194062,0.178921059,2,25,2,6.896551724,86.20689655,6.896551724,Neutral,Neutral,Neutral,0.069837016,0.732464514,0.197698468,1,25,3,3.448275862,86.20689655,10.34482759,Neutral,Neutral,Neutral,0.093331746,0.648220434,0.258447832,1,22,6,3.448275862,75.86206897,20.68965517
Illinois,House,Mary Miller,https://en.wikipedia.org/wiki/Mary_Miller_(politician),Republican,"August 27, 1959 (age 66)",5,12111,Neutral,Neutral,Neutral,0.335922947,0.501317668,0.16275939,9,37,2,18.75,77.08333333,4.166666667,Neutral,Neutral,Neutral,0.258548558,0.673822954,0.067628479,11,37,0,22.91666667,77.08333333,0,Neutral,Neutral,Neutral,0.210516099,0.663605972,0.125877946,7,38,3,14.58333333,79.16666667,6.25
Illinois,House,Darin LaHood,https://en.wikipedia.org/wiki/Darin_LaHood,Republican,"July 5, 1968 (age 57)",10,8715,Neutral,Neutral,Neutral,0.149424835,0.618475929,0.232099232,1,31,5,2.702702703,83.78378378,13.51351351,Neutral,Neutral,Neutral,0.102330409,0.783233122,0.114436466,4,31,2,10.81081081,83.78378378,5.405405405,Neutral,Neutral,Neutral,0.07060877,0.795582711,0.133808528,2,33,2,5.405405405,89.18918919,5.405405405
Illinois,House,Eric Sorensen,https://en.wikipedia.org/wiki/Eric_Sorensen_(politician),Democratic,"March 18, 1976 (age 49)",3,3837,Neutral,Neutral,Neutral,0.113042215,0.719211898,0.167745881,0,17,0,0,100,0,Neutral,Neutral,Neutral,0.00779854,0.818300493,0.173900951,0,16,1,0,94.11764706,5.882352941,Neutral,Neutral,Neutral,0.00366371,0.779759411,0.216576862,0,15,2,0,88.23529412,11.76470588
Indiana,House,Frank J. Mrvan,https://en.wikipedia.org/wiki/Frank_J._Mrvan,Democratic,"April 16, 1969 (age 56)",5,2875,Neutral,Neutral,Neutral,0.196102761,0.684984186,0.118913061,1,19,0,5,95,0,Neutral,Neutral,Neutral,0.143159043,0.756294273,0.100546675,3,17,0,15,85,0,Neutral,Neutral,Neutral,0.140374707,0.71145091,0.148174358,3,16,1,15,80,5
Indiana,House,Rudy Yakym,https://en.wikipedia.org/wiki/Rudy_Yakym,Republican,"February 24, 1984 (age 41)",3,2392,Neutral,Neutral,Neutral,0.155413849,0.710624829,0.133961305,0,9,0,0,100,0,Neutral,Neutral,Neutral,0.014013645,0.865124745,0.120861618,0,9,0,0,100,0,Neutral,Neutral,Neutral,0.009432475,0.93333938,0.057228183,0,9,0,0,100,0
Indiana,House,Marlin Stutzman,https://en.wikipedia.org/wiki/Marlin_Stutzman,Republican,"August 31, 1976 (age 49)",1,5002,Neutral,Neutral,Neutral,0.216230056,0.609700267,0.17406968,1,21,1,4.347826087,91.30434783,4.347826087,Neutral,Neutral,Neutral,0.066746069,0.756011205,0.177242711,1,20,2,4.347826087,86.95652174,8.695652174,Neutral,Neutral,Neutral,0.046595852,0.772191438,0.181212716,1,19,3,4.347826087,82.60869565,13.04347826
Indiana,House,Jim Baird,https://en.wikipedia.org/wiki/Jim_Baird_(American_politician),Republican,"June 4, 1945 (age 80)",7,5531,Neutral,Neutral,Neutral,0.182339802,0.678121081,0.139539124,1,21,2,4.166666667,87.5,8.333333333,Neutral,Neutral,Neutral,0.037252859,0.881303072,0.081444057,0,24,0,0,100,0,Neutral,Neutral,Neutral,0.009320074,0.913214867,0.077465058,0,21,3,0,87.5,12.5
Indiana,House,Victoria Spartz,https://en.wikipedia.org/wiki/Victoria_Spartz,Republican,"October 6, 1978 (age 46)",5,13537,Neutral,Negative,Negative,0.46392197,0.428901105,0.107176919,14,28,0,33.33333333,66.66666667,0,Neutral,Neutral,Neutral,0.298479001,0.630456252,0.07106474,8,33,1,19.04761905,78.57142857,2.380952381,Neutral,Neutral,Neutral,0.29011282,0.622057665,0.087829505,7,33,2,16.66666667,78.57142857,4.761904762
Indiana,House,Jefferson Shreve,https://en.wikipedia.org/wiki/Jefferson_Shreve,Republican,"September 24, 1965 (age 60)",1,2594,Neutral,Neutral,Neutral,0.193946073,0.684122393,0.12193154,0,10,0,0,100,0,Neutral,Neutral,Neutral,0.085870528,0.809895116,0.104234363,0,10,0,0,100,0,Neutral,Neutral,Neutral,0.040695126,0.844619481,0.114685363,0,10,0,0,100,0
Indiana,House,André Carson,https://en.wikipedia.org/wiki/André_Carson,Democratic,"October 16, 1974 (age 50)",18,17184,Neutral,Neutral,Neutral,0.242505946,0.51179341,0.245700632,6,50,9,9.230769231,76.92307692,13.84615385,Neutral,Neutral,Neutral,0.150567658,0.669717249,0.179715099,6,47,12,9.230769231,72.30769231,18.46153846,Neutral,Neutral,Neutral,0.087413191,0.610362416,0.302224387,3,47,15,4.615384615,72.30769231,23.07692308
Indiana,House,Mark Messmer,https://en.wikipedia.org/wiki/Mark_Messmer,Republican,"December 16, 1967 (age 57)",1,2604,Neutral,Neutral,Neutral,0.345481244,0.584363119,0.070155639,1,10,0,9.090909091,90.90909091,0,Neutral,Neutral,Neutral,0.042190277,0.853896117,0.103913601,0,11,0,0,100,0,Neutral,Neutral,Neutral,0.007954923,0.914272145,0.077772913,0,11,0,0,100,0
Indiana,House,Erin Houchin,https://en.wikipedia.org/wiki/Erin_Houchin,Republican,"September 24, 1976 (age 49)",3,2913,Neutral,Neutral,Neutral,0.155930059,0.705404757,0.138665177,0,17,0,0,100,0,Neutral,Neutral,Neutral,0.126603277,0.786039964,0.08735672,1,16,0,5.882352941,94.11764706,0,Neutral,Neutral,Neutral,0.048361069,0.857966626,0.093672307,0,16,1,0,94.11764706,5.882352941
Iowa,House,Mariannette Miller-Meeks,https://en.wikipedia.org/wiki/Mariannette_Miller-Meeks,Republican,"September 6, 1955 (age 70)",5,9251,Neutral,Neutral,Neutral,0.228247313,0.644522833,0.127229862,3,35,0,7.894736842,92.10526316,0,Neutral,Neutral,Neutral,0.073233317,0.82474076,0.102025914,3,35,0,7.894736842,92.10526316,0,Neutral,Neutral,Neutral,0.058074902,0.855549144,0.086375958,2,36,0,5.263157895,94.73684211,0
Iowa,House,Ashley Hinson,https://en.wikipedia.org/wiki/Ashley_Hinson,Republican,"June 27, 1983 (age 42)",5,5349,Neutral,Neutral,Neutral,0.220149752,0.64635403,0.133496206,1,28,1,3.333333333,93.33333333,3.333333333,Neutral,Neutral,Neutral,0.06259296,0.789268052,0.148138986,2,26,2,6.666666667,86.66666667,6.666666667,Neutral,Neutral,Neutral,0.081111586,0.723256326,0.195632084,2,24,4,6.666666667,80,13.33333333
Iowa,House,Zach Nunn,https://en.wikipedia.org/wiki/Zach_Nunn,Republican,"May 4, 1979 (age 46)",3,5565,Neutral,Neutral,Neutral,0.256492665,0.601975824,0.141531533,4,22,0,15.38461538,84.61538462,0,Neutral,Neutral,Neutral,0.168144631,0.704214043,0.12764132,3,23,0,11.53846154,88.46153846,0,Neutral,Neutral,Neutral,0.153607629,0.647361944,0.199030432,3,18,5,11.53846154,69.23076923,19.23076923
Iowa,House,Randy Feenstra,https://en.wikipedia.org/wiki/Randy_Feenstra,Republican,"January 14, 1969 (age 56)",5,5494,Neutral,Neutral,Neutral,0.19105,0.626142823,0.182807172,1,20,2,4.347826087,86.95652174,8.695652174,Neutral,Neutral,Neutral,0.044578022,0.715913329,0.239508644,0,20,3,0,86.95652174,13.04347826,Neutral,Neutral,Neutral,0.062519854,0.700572865,0.236907291,0,20,3,0,86.95652174,13.04347826
Kansas,House,Tracey Mann,https://en.wikipedia.org/wiki/Tracey_Mann,Republican,"December 17, 1976 (age 48)",5,4267,Neutral,Neutral,Neutral,0.187580661,0.670695226,0.141724127,1,20,1,4.545454545,90.90909091,4.545454545,Neutral,Neutral,Neutral,0.130340675,0.78548536,0.084173951,4,17,1,18.18181818,77.27272727,4.545454545,Neutral,Neutral,Neutral,0.135759293,0.785375389,0.078865318,4,17,1,18.18181818,77.27272727,4.545454545
Kansas,House,Derek Schmidt,https://en.wikipedia.org/wiki/Derek_Schmidt,Republican,"January 23, 1968 (age 57)",1,20589,Neutral,Neutral,Neutral,0.446573859,0.457025351,0.096400793,11,31,1,25.58139535,72.09302326,2.325581395,Neutral,Neutral,Neutral,0.194523612,0.743296843,0.062179564,5,37,1,11.62790698,86.04651163,2.325581395,Neutral,Neutral,Neutral,0.109739844,0.817249386,0.073010764,1,40,2,2.325581395,93.02325581,4.651162791
Kansas,House,Sharice Davids,https://en.wikipedia.org/wiki/Sharice_Davids,Democratic,"May 22, 1980 (age 45)",7,8246,Neutral,Neutral,Neutral,0.156001435,0.661612284,0.182386279,0,34,3,0,91.89189189,8.108108108,Neutral,Neutral,Neutral,0.04334969,0.741804014,0.214846298,0,34,3,0,91.89189189,8.108108108,Neutral,Neutral,Neutral,0.024457139,0.696856163,0.278686693,0,30,7,0,81.08108108,18.91891892
Kansas,House,Ron Estes,https://en.wikipedia.org/wiki/Ron_Estes,Republican,"July 19, 1956 (age 69)",8,6971,Neutral,Neutral,Neutral,0.206873056,0.616669269,0.176457689,2,21,2,8,84,8,Neutral,Neutral,Neutral,0.093607457,0.756710142,0.149682417,1,23,1,4,92,4,Neutral,Neutral,Neutral,0.117361937,0.725447192,0.157190878,3,19,3,12,76,12
Kentucky,House,James Comer,https://en.wikipedia.org/wiki/James_Comer,Republican,"August 19, 1972 (age 53)",9,15273,Neutral,Neutral,Neutral,0.266895506,0.581379261,0.151725248,7,32,2,17.07317073,78.04878049,4.87804878,Neutral,Neutral,Neutral,0.115877228,0.757956665,0.126166117,7,32,2,17.07317073,78.04878049,4.87804878,Neutral,Neutral,Neutral,0.078233007,0.779056179,0.142710801,6,32,3,14.63414634,78.04878049,7.317073171
Kentucky,House,Brett Guthrie,https://en.wikipedia.org/wiki/Brett_Guthrie,Republican,"February 18, 1964 (age 61)",17,4609,Neutral,Neutral,Neutral,0.236244278,0.581760039,0.181995677,2,18,1,9.523809524,85.71428571,4.761904762,Neutral,Neutral,Neutral,0.122755648,0.722928629,0.154315724,2,18,1,9.523809524,85.71428571,4.761904762,Neutral,Neutral,Neutral,0.097079834,0.722541113,0.180379048,1,18,2,4.761904762,85.71428571,9.523809524
Kentucky,House,Morgan McGarvey,https://en.wikipedia.org/wiki/Morgan_McGarvey,Democratic,"December 23, 1979 (age 45)",3,4039,Neutral,Neutral,Neutral,0.132095274,0.712213186,0.155691567,1,16,1,5.555555556,88.88888889,5.555555556,Neutral,Neutral,Neutral,0.072326824,0.760583506,0.167089658,1,16,1,5.555555556,88.88888889,5.555555556,Neutral,Neutral,Neutral,0.075402361,0.7790572,0.145540451,1,16,1,5.555555556,88.88888889,5.555555556
Kentucky,House,Thomas Massie,https://en.wikipedia.org/wiki/Thomas_Massie,Republican,"January 13, 1971 (age 54)",13,35507,Neutral,Neutral,Neutral,0.364033483,0.476843598,0.15912291,23,63,4,25.55555556,70,4.444444444,Neutral,Neutral,Neutral,0.287139962,0.62090186,0.091958187,24,63,3,26.66666667,70,3.333333333,Neutral,Neutral,Neutral,0.210390857,0.660487326,0.129121819,21,63,6,23.33333333,70,6.666666667
Kentucky,House,Hal Rogers,https://en.wikipedia.org/wiki/Hal_Rogers,Republican,"December 31, 1937 (age 87)",45,17195,Neutral,Neutral,Neutral,0.32388613,0.446970254,0.229143629,15,31,5,29.41176471,60.78431373,9.803921569,Neutral,Neutral,Neutral,0.20039005,0.650182619,0.14942732,12,36,3,23.52941176,70.58823529,5.882352941,Neutral,Neutral,Neutral,0.175312193,0.649278474,0.175409335,10,36,5,19.60784314,70.58823529,9.803921569
Kentucky,House,Andy Barr,https://en.wikipedia.org/wiki/Andy_Barr,Republican,"July 24, 1973 (age 52)",13,23522,Neutral,Neutral,Neutral,0.333743444,0.499464091,0.166792458,14,39,3,25,69.64285714,5.357142857,Neutral,Neutral,Neutral,0.133542371,0.737135216,0.12932242,9,45,2,16.07142857,80.35714286,3.571428571,Neutral,Neutral,Neutral,0.104966587,0.754969096,0.140064319,5,47,4,8.928571429,83.92857143,7.142857143
Louisiana,House,Steve Scalise,https://en.wikipedia.org/wiki/Steve_Scalise,Republican,"October 6, 1965 (age 59)",17,19213,Neutral,Neutral,Neutral,0.378173663,0.483557986,0.138268348,12,41,3,21.42857143,73.21428571,5.357142857,Neutral,Neutral,Neutral,0.231531127,0.674572922,0.093895948,13,40,3,23.21428571,71.42857143,5.357142857,Neutral,Neutral,Neutral,0.240162914,0.669237896,0.090599177,14,38,4,25,67.85714286,7.142857143
